trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
73,False,"{'a': 0.2, 'e': 0.6349999999999997}",25,0,-47.558538580432575,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
74,False,"{'a': 0.2, 'e': 0.6299999999999997}",20,10,-3.968360981534072,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.2, 'e': 0.6249999999999997}",25,0,-143.20474755475558,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
76,False,"{'a': 0.2, 'e': 0.6199999999999997}",20,9,10.206706224893596,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.2, 'e': 0.6149999999999997}",20,11,-59.75425278417151,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
78,False,"{'a': 0.2, 'e': 0.6099999999999997}",20,0,-63.08283988552279,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
79,False,"{'a': 0.2, 'e': 0.6049999999999996}",20,8,-31.994593285696215,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.2, 'e': 0.5999999999999996}",25,0,-81.54945525246,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.2, 'e': 0.5949999999999996}",30,0,-181.99249810707224,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
82,False,"{'a': 0.2, 'e': 0.5899999999999996}",20,0,-17.346051629922492,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
83,False,"{'a': 0.2, 'e': 0.5849999999999996}",20,0,-21.60372083991107,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
84,False,"{'a': 0.2, 'e': 0.5799999999999996}",20,14,4.1761418426395664,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.2, 'e': 0.5749999999999996}",30,0,-211.24994597719893,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 5}",0
86,False,"{'a': 0.2, 'e': 0.5699999999999996}",20,7,-2.3316806647726915,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.2, 'e': 0.5649999999999996}",20,0,-23.68982833283445,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
88,False,"{'a': 0.2, 'e': 0.5599999999999996}",35,7,-42.17546695554191,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.5549999999999996}",20,10,-24.51641951637849,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.5499999999999996}",25,0,-35.46317657277339,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
91,False,"{'a': 0.2, 'e': 0.5449999999999996}",25,13,-24.894251480774997,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.2, 'e': 0.5399999999999996}",30,19,-27.82070347234565,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.5349999999999996}",25,12,-101.92500881218642,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 2}",1
94,False,"{'a': 0.2, 'e': 0.5299999999999996}",20,6,-51.48547203653787,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
95,False,"{'a': 0.2, 'e': 0.5249999999999996}",25,10,-15.358810439045385,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
96,False,"{'a': 0.2, 'e': 0.5199999999999996}",25,10,-15.622324105758953,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
97,False,"{'a': 0.2, 'e': 0.5149999999999996}",20,0,-30.735157985418994,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
98,False,"{'a': 0.2, 'e': 0.5099999999999996}",25,14,14.223413744803668,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.5049999999999996}",35,21,-32.25686683913242,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.2, 'e': 0.49999999999999956}",35,26,6.356953136202248,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.2, 'e': 0.49499999999999955}",25,0,-77.99226139672001,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
102,False,"{'a': 0.2, 'e': 0.48999999999999955}",20,5,0.13394013542626615,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.2, 'e': 0.48499999999999954}",20,0,7.887405888297577,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.2, 'e': 0.47999999999999954}",20,0,-80.2197111905476,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
105,False,"{'a': 0.2, 'e': 0.47499999999999953}",20,0,-46.631827932380574,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
106,False,"{'a': 0.2, 'e': 0.46999999999999953}",25,8,-25.368826328932823,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
107,False,"{'a': 0.2, 'e': 0.4649999999999995}",25,20,9.066617031115884,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.2, 'e': 0.4599999999999995}",20,10,3.821465588900818,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.2, 'e': 0.4549999999999995}",20,2,5.946784692219559,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.2, 'e': 0.4499999999999995}",25,4,-8.942724948037064,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.2, 'e': 0.4449999999999995}",20,7,-66.5814341250025,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
112,False,"{'a': 0.2, 'e': 0.4399999999999995}",25,10,-2.3558530062908094,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.2, 'e': 0.4349999999999995}",20,9,9.89435292750465,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.2, 'e': 0.4299999999999995}",25,13,-53.52682242887999,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
115,False,"{'a': 0.2, 'e': 0.4249999999999995}",20,14,-16.719519600298067,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
116,False,"{'a': 0.2, 'e': 0.4199999999999995}",25,0,6.423617177425898,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
117,False,"{'a': 0.2, 'e': 0.4149999999999995}",30,10,-24.434692572981835,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.2, 'e': 0.4099999999999995}",20,16,6.9522564945634935,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.2, 'e': 0.40499999999999947}",25,19,11.046515122332254,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
